,0001a,0001al,0001au,0001b,0001bl,0001bu,0001cl,0001cu,0002a,0002b,0002cu,rule_lined,medical0710,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Positive Slope,0.23,0.22,0.25,0.23,0.25,0.21,0.25,0.25,0.21,0.19,0.2,0.16,0.23,0.25
Slant,5.89,4.82,6.72,5.72,8.55,4.12,6.94,7.5,2.31,-0.38,-0.24,8.38,4.03,6.97
Height,38,41,35,36,38,35,40,35,31,30,30,20,29,40
Word Gap,78.43,73.45,69.41,77.93,80.97,77.93,88.79,105.71,59.31,51.84,60.35,11,45.66,73.23
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Wide,Narrow,,,,,,,,,,,,
Word Gap,Like Freedom and Independence,Hate to be alone,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Small,Large,,,,,,,,,,,,
Height,"Timid, introvert","outgoing, confident, attention seeking",,,,,,,,,,,,
,,,,,,,,,,,,,,
,Right,Left,Straight,,,,,,,,,,,
Slant,"Spontaneous, implusive",Reserved,Self sufficient,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Slope,Self motivated,Optimistic,"Tired, pessimistic",,,,,,,,,,,
